Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,42,551,326,106,847,919
4/10/2022,>25,Male,353,730,669,887,422,184
4/10/2022,15-25,Female,122,779,799,802,837,369
4/10/2022,>25,Female,455,970,941,118,781,67
5/10/2022,15-25,Male,239,965,408,627,525,282
5/10/2022,>25,Male,387,678,904,947,70,378
5/10/2022,15-25,Female,552,62,15,737,768,612
5/10/2022,>25,Female,427,501,937,955,673,666
6/10/2022,15-25,Male,496,601,451,818,407,170
6/10/2022,>25,Male,419,890,32,564,295,15
6/10/2022,15-25,Female,810,658,519,838,168,631
6/10/2022,>25,Female,23,67,517,753,262,840
7/10/2022,15-25,Male,745,871,638,213,446,483
7/10/2022,>25,Male,807,184,147,723,421,88
7/10/2022,15-25,Female,216,558,325,987,892,607
7/10/2022,>25,Female,340,399,709,816,47,269
8/10/2022,15-25,Male,451,981,592,267,963,768
8/10/2022,>25,Male,711,62,705,479,612,111
8/10/2022,15-25,Female,647,514,923,772,150,58
8/10/2022,>25,Female,117,95,628,141,671,649
9/10/2022,15-25,Male,323,219,138,101,50,559
9/10/2022,>25,Male,764,155,116,466,6,57
9/10/2022,15-25,Female,268,909,1000,493,535,335
9/10/2022,>25,Female,335,821,292,448,855,746
10/10/2022,15-25,Male,93,138,785,80,410,531
10/10/2022,>25,Male,45,674,33,106,138,950
10/10/2022,15-25,Female,259,630,482,417,16,915
10/10/2022,>25,Female,280,911,673,394,800,864
11/10/2022,15-25,Male,614,986,49,726,167,674
11/10/2022,>25,Male,156,574,684,115,57,10
11/10/2022,15-25,Female,39,359,879,408,866,879
11/10/2022,>25,Female,86,421,635,853,840,947
12/10/2022,15-25,Male,801,164,248,31,801,303
12/10/2022,>25,Male,459,77,20,844,118,328
12/10/2022,15-25,Female,20,302,547,813,240,780
12/10/2022,>25,Female,359,782,112,436,939,22
13/10/2022,15-25,Male,29,544,451,409,568,81
13/10/2022,>25,Male,760,882,767,879,817,67
13/10/2022,15-25,Female,650,163,372,374,117,150
13/10/2022,>25,Female,522,829,60,172,967,519
14/10/2022,15-25,Male,154,168,105,356,711,141
14/10/2022,>25,Male,775,104,650,118,433,94
14/10/2022,15-25,Female,320,55,288,972,377,47
14/10/2022,>25,Female,962,964,236,315,293,194
15/10/2022,15-25,Male,701,281,273,409,279,63
15/10/2022,>25,Male,766,521,276,232,476,769
15/10/2022,15-25,Female,780,152,231,195,78,373
15/10/2022,>25,Female,852,598,841,852,368,103
16/10/2022,15-25,Male,710,597,487,123,641,713
16/10/2022,>25,Male,620,186,104,991,94,316
16/10/2022,15-25,Female,813,89,406,135,423,179
16/10/2022,>25,Female,803,822,409,130,444,54
17/10/2022,15-25,Male,357,476,18,612,605,894
17/10/2022,>25,Male,467,864,926,499,674,888
17/10/2022,15-25,Female,288,517,187,239,441,806
17/10/2022,>25,Female,121,464,115,418,450,469
18/10/2022,15-25,Male,713,939,716,647,622,350
18/10/2022,>25,Male,646,999,131,734,837,884
18/10/2022,15-25,Female,190,757,605,805,196,499
18/10/2022,>25,Female,502,318,825,901,397,441
19/10/2022,15-25,Male,999,516,654,458,695,912
19/10/2022,>25,Male,493,148,762,127,916,630
19/10/2022,15-25,Female,823,218,86,472,165,103
19/10/2022,>25,Female,456,322,816,810,330,19
20/10/2022,15-25,Male,228,538,546,124,508,472
20/10/2022,>25,Male,915,898,25,156,772,777
20/10/2022,15-25,Female,235,65,109,62,524,531
20/10/2022,>25,Female,628,913,84,898,14,476
21/10/2022,15-25,Male,415,794,238,911,730,37
21/10/2022,>25,Male,179,274,539,33,526,98
21/10/2022,15-25,Female,821,667,415,268,236,961
21/10/2022,>25,Female,421,616,530,431,33,340
22/10/2022,15-25,Male,394,468,641,969,648,337
22/10/2022,>25,Male,719,611,983,617,352,499
22/10/2022,15-25,Female,173,502,742,964,239,169
22/10/2022,>25,Female,45,158,141,273,897,523
23/10/2022,15-25,Male,901,857,125,581,67,304
23/10/2022,>25,Male,944,587,298,616,2,119
23/10/2022,15-25,Female,536,555,367,383,477,930
23/10/2022,>25,Female,171,43,481,349,126,716
24/10/2022,15-25,Male,735,669,770,545,895,321
24/10/2022,>25,Male,298,948,797,4,139,623
24/10/2022,15-25,Female,515,220,57,964,452,539
24/10/2022,>25,Female,292,130,899,688,790,235
25/10/2022,15-25,Male,634,270,631,874,325,669
25/10/2022,>25,Male,459,276,644,172,731,169
25/10/2022,15-25,Female,410,107,21,73,645,12
25/10/2022,>25,Female,728,394,696,944,332,441
26/10/2022,15-25,Male,317,673,402,523,472,68
26/10/2022,>25,Male,832,690,166,249,171,688
26/10/2022,15-25,Female,679,343,871,276,145,63
26/10/2022,>25,Female,736,77,238,485,507,481
27/10/2022,15-25,Male,374,899,234,924,833,432
27/10/2022,>25,Male,340,539,703,623,76,551
27/10/2022,15-25,Female,859,813,256,139,41,901
27/10/2022,>25,Female,996,436,667,25,65,202
28/10/2022,15-25,Male,262,498,780,575,927,981
28/10/2022,>25,Male,332,911,248,847,418,295
28/10/2022,15-25,Female,799,555,212,992,93,477
28/10/2022,>25,Female,239,847,416,215,839,747
29/10/2022,15-25,Male,495,939,246,423,869,356
29/10/2022,>25,Male,95,407,309,556,34,244
29/10/2022,15-25,Female,507,141,464,43,379,135
29/10/2022,>25,Female,577,95,76,887,209,563
30/10/2022,15-25,Male,679,708,621,359,401,328
30/10/2022,>25,Male,939,263,850,642,198,62
30/10/2022,15-25,Female,874,71,947,490,437,175
30/10/2022,>25,Female,723,890,340,588,473,14
31/10/2022,15-25,Male,221,253,631,276,743,920
31/10/2022,>25,Male,400,67,706,759,91,846
31/10/2022,15-25,Female,411,318,623,735,629,394
31/10/2022,>25,Female,669,575,949,426,17,351
